date,btc_p,ltc_p,eth_p,xrp_p,doge_p
04/08/2016,569.82,3.73,10.37108,0.00667077,0.000210978
08/08/2016,595.0,3.73319,10.9762,0.00602678,0.000236832
09/08/2016,591.831,3.60152,11.23323,0.0059016,0.000227986
11/08/2016,591.0,3.76567,12.22799,0.00820628,0.000229345
12/08/2016,588.01,3.78506,11.7128,0.00709728,0.000214565
15/08/2016,570.56,3.60656,11.1389,0.00604495,0.000238369
16/08/2016,566.521,3.55202,11.18251,0.00614018,0.000258418
17/08/2016,579.61,3.6399,11.21,0.00610892,0.000246971
18/08/2016,573.28,3.62985,10.777,0.0061217,0.00024715
19/08/2016,575.56,3.58214,10.799,0.00611939,0.00023269
22/08/2016,581.53,3.61525,11.17001,0.00600015,0.000229018
23/08/2016,584.99,3.67618,11.041,0.00601941,0.00022731
24/08/2016,583.38,0.0,11.0768,0.00605151,0.00023097
25/08/2016,582.109,0.0,11.09,0.00607912,0.000229429
26/08/2016,576.94,0.0,11.337,0.00603018,0.000231181
30/08/2016,575.492,3.81881,10.9505,0.00602617,0.000233264
31/08/2016,578.96,3.79,11.2999,0.00601237,0.000235063
02/09/2016,572.0,0.0,12.0,0.00781542,0.000291881
06/09/2016,0.0,0.0,0.0,0.00578756,0.000265293
08/09/2016,617.335,4.0413,11.58,0.00616306,0.000236527
09/09/2016,630.039,4.03844,11.40003,0.00586911,0.00023038
12/09/2016,609.153,3.93158,11.75498,0.00713467,0.000212465
13/09/2016,611.107,0.0,11.95849,0.00588601,0.000225249
14/09/2016,615.289,3.85124,11.96181,0.00596128,0.000225513
15/09/2016,610.371,3.85707,11.96201,0.00830309,0.000233186
16/09/2016,609.962,3.87113,12.08291,0.00744597,0.000250482
19/09/2016,611.989,3.86699,12.49792,0.00685828,0.000235508
20/09/2016,609.2,3.82635,13.2,0.00678526,0.000232174
21/09/2016,603.8,3.7594,14.43979,0.00682883,0.000231322
22/09/2016,0.0,0.0,13.7895,0.0068427,0.00022751
23/09/2016,595.37,3.76235,13.25,0.00721064,0.000224348
26/09/2016,599.998,3.73282,13.05,0.00796323,0.00022919
27/09/2016,608.979,0.0,12.82151,0.00822923,0.000227515
28/09/2016,606.505,3.841,13.05083,0.00904786,0.000228644
29/09/2016,604.999,0.0,0.0,0.008914,0.000230549
30/09/2016,607.305,3.88157,13.09,0.00883032,0.000234938
03/10/2016,611.837,0.0,13.15611,0.00819045,0.000240696
05/10/2016,612.0,3.83365,13.26172,0.00627243,0.000219869
06/10/2016,614.956,3.86532,13.02,0.00573611,0.000260458
10/10/2016,616.509,3.81841,12.06597,0.00797834,0.000227713
11/10/2016,618.76,3.78278,11.76999,0.00813597,0.000228178
13/10/2016,635.28,3.80419,11.85631,0.00798152,0.000226744
14/10/2016,634.243,3.91363,11.91,0.00876702,0.000226615
17/10/2016,643.28,3.92236,11.97899,0.00803042,0.00022088
18/10/2016,640.976,3.84934,12.01911,0.00835003,0.000221034
19/10/2016,636.97,3.81174,12.568,0.00862711,0.000218594
20/10/2016,631.5,3.8093,12.03679,0.00909187,0.000221065
21/10/2016,630.05,3.77001,12.04775,0.00902918,0.000218363
24/10/2016,657.683,3.9,12.02002,0.00906492,0.000218913
25/10/2016,652.63,3.84115,11.975,0.0088908,0.000219335
26/10/2016,655.889,3.86074,11.35,0.00883466,0.000216089
