,Date,xrp_p
199,18/07/2016 23:59,0.00648188
200,19/07/2016 23:59,0.00640525
201,20/07/2016 23:59,0.00639476
202,21/07/2016 23:59,0.00641633
203,22/07/2016 23:59,0.00630293
204,23/07/2016 23:59,0.00631672
205,24/07/2016 23:59,0.00628551
206,25/07/2016 23:59,0.0062463
207,26/07/2016 23:59,0.00599762
208,27/07/2016 23:59,0.00596901
209,28/07/2016 23:59,0.00597362
210,29/07/2016 23:59,0.00611078
211,30/07/2016 23:59,0.00612061
212,31/07/2016 23:59,0.00594491
213,01/08/2016 23:59,0.00590626
214,02/08/2016 23:59,0.00568961
215,03/08/2016 23:59,0.00564585
216,04/08/2016 23:59,0.0058156
217,05/08/2016 23:59,0.00644721
218,06/08/2016 23:59,0.0063366
219,07/08/2016 23:59,0.00617777
220,08/08/2016 23:59,0.00602678
221,09/08/2016 23:59,0.00616306
222,10/08/2016 23:59,0.00619434
223,11/08/2016 23:59,0.00618942
224,12/08/2016 23:59,0.00612276
225,13/08/2016 23:59,0.00609237
226,14/08/2016 23:59,0.0059941
227,15/08/2016 23:59,0.00604495
228,16/08/2016 23:59,0.00614018
229,17/08/2016 23:59,0.00610892
230,18/08/2016 23:59,0.0061217
231,19/08/2016 23:59,0.00611939
232,20/08/2016 23:59,0.00611396
233,21/08/2016 23:59,0.0060517
234,22/08/2016 23:59,0.00600015
235,23/08/2016 23:59,0.00601941
236,24/08/2016 23:59,0.00605151
237,25/08/2016 23:59,0.00607912
238,26/08/2016 23:59,0.00603018
239,27/08/2016 23:59,0.00597472
240,28/08/2016 23:59,0.00596282
241,29/08/2016 23:59,0.00613105
242,30/08/2016 23:59,0.00602617
243,31/08/2016 23:59,0.00601237
244,01/09/2016 23:59,0.00598373
245,02/09/2016 23:59,0.00596991
246,03/09/2016 23:59,0.00596429
247,04/09/2016 23:59,0.00595379
248,05/09/2016 23:59,0.00593207
249,06/09/2016 23:59,0.00591174
250,07/09/2016 23:59,0.00589238
251,08/09/2016 23:59,0.0059016
252,09/09/2016 23:59,0.00586911
253,10/09/2016 23:59,0.00586988
254,11/09/2016 23:59,0.00584216
255,12/09/2016 23:59,0.0058973
256,13/09/2016 23:59,0.00588601
257,14/09/2016 23:59,0.00596128
258,15/09/2016 23:59,0.00830309
259,16/09/2016 23:59,0.00744597
260,17/09/2016 23:59,0.00701827
261,18/09/2016 23:59,0.00685256
262,19/09/2016 23:59,0.00685828
263,20/09/2016 23:59,0.00678526
264,21/09/2016 23:59,0.00682883
265,22/09/2016 23:59,0.0068427
266,23/09/2016 23:59,0.00721064
267,24/09/2016 23:59,0.00736211
268,25/09/2016 23:59,0.00785457
269,26/09/2016 23:59,0.00796323
270,27/09/2016 23:59,0.00822923
271,28/09/2016 23:59,0.00904786
272,29/09/2016 23:59,0.008914
273,30/09/2016 23:59,0.00883032
274,01/10/2016 23:59,0.00820475
275,02/10/2016 23:59,0.00816502
276,03/10/2016 23:59,0.00808921
277,04/10/2016 23:59,0.0078528
278,05/10/2016 23:59,0.00743457
279,06/10/2016 23:59,0.0073823
280,07/10/2016 23:59,0.00737651
281,08/10/2016 23:59,0.00731046
282,09/10/2016 23:59,0.00754302
283,10/10/2016 23:59,0.00797834
284,11/10/2016 23:59,0.00823435
285,12/10/2016 23:59,0.0079488
286,13/10/2016 23:59,0.00798152
287,14/10/2016 23:59,0.00876702
288,15/10/2016 23:59,0.00814566
289,16/10/2016 23:59,0.00807791
290,17/10/2016 23:59,0.00803042
291,18/10/2016 23:59,0.00835003
292,19/10/2016 23:59,0.00862711
293,20/10/2016 23:59,0.00909187
294,21/10/2016 23:59,0.00902918
295,22/10/2016 23:59,0.00897243
296,23/10/2016 23:59,0.00945391
297,24/10/2016 23:59,0.00906492
298,25/10/2016 23:59,0.0088908
299,26/10/2016 23:59,0.00883466
300,27/10/2016 23:59,0.00848057
301,28/10/2016 23:59,0.00814314
302,29/10/2016 23:59,0.00773232
303,30/10/2016 23:59,0.00801431
304,31/10/2016 23:59,0.00819595
305,01/11/2016 23:59,0.00810233
306,02/11/2016 23:59,0.00822232
307,03/11/2016 23:59,0.0080211
308,04/11/2016 23:59,0.0081568
309,05/11/2016 23:59,0.0082305
310,06/11/2016 23:59,0.0081934
311,07/11/2016 23:59,0.00810845
312,08/11/2016 23:59,0.00820628
313,09/11/2016 23:59,0.0080788
314,10/11/2016 23:59,0.00813597
315,11/11/2016 23:59,0.00806511
316,12/11/2016 23:59,0.00804398
317,13/11/2016 23:59,0.00825744
318,14/11/2016 23:59,0.00809752
319,15/11/2016 23:59,0.00788052
320,16/11/2016 23:59,0.00784161
321,17/11/2016 23:59,0.00772664
322,18/11/2016 23:59,0.00777787
323,19/11/2016 23:59,0.0077992
